name,season,o_rapm,d_rapm,total_rapm,games,poss
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,34,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,34,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,34,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,34,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,34,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,17,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,17,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,17,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,17,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,17,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,17,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,17,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,17,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,17,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,17,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,17,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,17,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,17,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,17,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,17,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,17,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,17,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,17,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,17,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,17,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,17,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,17,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,17,2093
